timestamp,approach,turn,length_ft,speed_mph,phase,light,seconds_of_light_state,seconds_since_green,recent_free_flow_speed_mph,calibration_free_flow_speed_mph,include_in_approach_data,zone_id
20161003T000709.0,N,L,19,8,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T001221.0,N,L,22,8,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T001225.8,N,S,11,22,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T003029.2,N,L,17,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T010046.3,N,L,14,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T012525.6,N,S,19,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T022918.6,N,L,11,6,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T043430.2,N,L,8,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T043629.6,N,L,12,5,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T044331.4,N,L,18,7,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T051336.1,N,L,14,7,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T051341.9,N,L,9,24,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T052415.5,N,L,9,9,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T052632.6,N,L,16,7,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T053254.1,N,L,23,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T053549,N,L,22,8,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T054409.4,N,L,18,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T054659.9,N,S,13,12,3,R,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T054758.6,N,L,12,10,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T054800.3,N,L,15,13,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T055038.7,N,L,18,10,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T055042.0,N,L,20,18,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T055450.3,N,L,26,8,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T060609.4,N,L,17,6,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T060800.3,N,L,16,12,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T061139.3,N,L,17,10,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T061332.0,N,L,11,14,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T061331,N,L,13,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
20161003T061334.7,N,L,15,16,3,G,-1,-1,-1,-1,1,2a4566ce-f931-47ac-add6-113896ca01a5
